Time,Pump ID,Engine RPM,Engine % Load,Engine Coolant Temperature,Fuel Temperature,Fuel Pressure,Engine Oil Temperature,Engine Oil Pressure,Gear,Transmission Oil Pressure,Transmission Oil Temperature,Discharge Pressure, Hydraulic Power,Lube Oil Pressure,Lube Oil Temperature,Pump RPM,Discharge Rate,Discharge Total,Charge Pressure
7:30:35 AM,,0,0,75.2,0,0.0,0,0.0,0,-0.4,79,40,0,-0.3,73,0,0.0,186,54.2,
7:30:36 AM,,0,0,75.2,0,0.0,0,0.0,0,-0.6,79,39,0,-0.3,73,0,0.0,186,51.7,
7:30:37 AM,,0,0,75.2,0,0.0,0,0.0,0,-0.6,79,39,0,-0.3,73,0,0.0,186,53.3,
7:30:38 AM,,0,0,75.2,0,0.0,0,0.0,0,-0.6,79,40,0,-0.3,73,0,0.0,186,53.9,
7:30:39 AM,,0,0,75.2,0,0.0,0,0.0,0,-0.6,79,42,0,-0.3,73,0,0.0,186,56.2,
7:30:40 AM,,0,0,75.2,0,0.0,0,0.0,0,-0.6,79,41,0,-0.3,73,0,0.0,186,53.5,
7:30:41 AM,,0,0,75.2,0,0.0,0,0.0,0,-0.6,79,40,0,-0.3,73,0,0.0,186,55.2,
7:30:42 AM,,0,0,73.4,0,0.0,0,0.0,0,-0.6,79,41,0,-0.3,73,0,0.0,186,53.8,
7:30:43 AM,,0,0,73.4,0,0.0,0,0.0,0,-0.6,79,41,0,-0.3,73,0,0.0,186,54.3,
7:30:44 AM,,0,0,75.2,0,0.0,0,0.0,0,-0.6,79,39,0,-0.3,73,0,0.0,186,54.5,
