Time,Pump ID,Engine RPM,Engine % Load,Engine Coolant Temperature,Fuel Temperature,Fuel Pressure,Engine Oil Temperature,Engine Oil Pressure,Gear,Transmission Oil Pressure,Transmission Oil Temperature,Discharge Pressure, Hydraulic Power,Lube Oil Pressure,Lube Oil Temperature,Pump RPM,Discharge Rate,Discharge Total,Charge Pressure
8:41:41 AM,,700,18,174.2,0,47.6,0,50.5,9,26.2,171,48,0,84.0,77,0,0.0,317,66.0,
9:19:23 AM,,1907,100,181.4,0,72.5,0,71.3,11,104.6,181,6588,2795,97.2,79,243,17.3,107,52.1,
9:19:24 AM,,1907,100,181.4,0,72.5,0,70.8,11,105.9,181,6577,2791,97.2,79,243,17.3,107,43.6,
9:19:25 AM,,1906,100,181.4,0,72.5,0,70.8,11,103.6,181,6597,2799,97.8,79,243,17.3,108,53.5,
9:19:26 AM,,1909,100,181.4,0,72.5,0,71.3,11,106.7,181,6595,2798,96.9,79,243,17.3,108,47.2,
9:19:27 AM,,1905,100,181.4,0,72.5,0,70.2,11,104.9,181,6583,2796,96.9,79,243,17.3,108,52.6,
9:19:28 AM,,1906,100,181.4,0,72.5,0,70.8,11,106.5,181,6585,2794,96.5,79,243,17.3,109,51.3,
9:19:29 AM,,1908,100,179.6,0,72.5,0,70.2,11,104.6,181,6584,2794,97.1,79,243,17.3,109,51.5,
9:19:30 AM,,1904,100,181.4,0,72.5,0,70.8,11,107.3,181,6599,2800,95.9,79,243,17.3,109,49.0,
9:19:31 AM,,1910,100,181.4,0,72.5,0,70.8,11,107.5,181,6578,2793,96.7,79,243,17.3,110,41.7,
9:19:32 AM,,1906,100,181.4,0,72.5,0,70.2,11,105.1,181,6593,2797,96.8,79,243,17.3,110,51.0,
9:19:33 AM,,1912,100,181.4,0,73.1,0,70.8,11,104.4,181,6585,2796,97.6,79,243,17.3,110,44.3,
9:19:34 AM,,1909,100,181.4,0,72.5,0,70.8,11,103.8,181,6591,2797,97.6,79,243,17.3,110,51.5,
9:19:35 AM,,1906,100,181.4,0,72.5,0,70.2,11,106.9,181,6591,2797,96.8,79,243,17.3,111,50.0,
