Time,Pump ID,Engine RPM,Engine % Load,Engine Coolant Temperature,Fuel Temperature,Fuel Pressure,Engine Oil Temperature,Engine Oil Pressure,Gear,Transmission Oil Pressure,Transmission Oil Temperature,Discharge Pressure, Hydraulic Power,Lube Oil Pressure,Lube Oil Temperature,Pump RPM,Discharge Rate,Discharge Total,Charge Pressure
9:51:59 AM,,1949,84,186.8,0,77.7,0,66.7,4,109.2,192,14130,2429,102.6,123,99,7.0,1812,60.7,
9:52:00 AM,,1955,83,186.8,0,77.7,0,67.3,4,107.8,192,14203,2437,102.4,123,98,7.0,1813,59.6,
9:52:01 AM,,1947,84,186.8,0,77.1,0,67.3,4,105.7,192,14201,2437,106.1,123,98,7.0,1813,59.2,
9:52:02 AM,,1953,83,186.8,0,77.1,0,67.3,4,108.2,192,14117,2427,102.5,123,99,7.0,1813,61.9,
9:52:03 AM,,1957,83,186.8,0,77.1,0,66.7,4,106.5,192,14205,2438,102.4,123,98,7.0,1813,57.3,
9:52:04 AM,,1945,84,185.0,0,77.7,0,67.3,4,108.4,192,14212,2443,106.7,123,98,7.0,1813,56.5,
9:52:05 AM,,1952,84,186.8,0,77.7,0,66.7,4,108.8,192,14129,2425,102.8,123,98,7.0,1813,50.0,
9:52:06 AM,,1946,84,185.0,0,77.1,0,67.3,4,106.5,192,14165,2434,102.7,123,98,7.0,1813,57.0,
9:52:07 AM,,1944,84,185.0,0,77.1,0,66.7,4,108.0,192,14244,2444,106.8,123,98,7.0,1814,57.7,
9:52:08 AM,,1958,83,186.8,0,77.7,0,67.3,4,110.7,192,14141,2429,102.7,123,98,7.0,1814,61.1,
9:52:09 AM,,1952,84,186.8,0,77.7,0,66.7,4,110.9,192,14162,2435,102.2,123,99,7.0,1814,59.6,
9:52:10 AM,,1952,83,186.8,0,77.7,0,67.3,4,110.7,192,14258,2449,105.4,123,98,7.0,1814,61.7,
9:52:11 AM,,1951,84,186.8,0,77.7,0,67.3,4,108.2,192,14112,2422,102.2,123,98,7.0,1814,62.9,
9:52:12 AM,,1949,84,186.8,0,77.7,0,66.7,4,108.4,192,14146,2431,101.6,123,98,7.0,1814,59.3,
9:52:13 AM,,1954,83,186.8,0,77.1,0,66.7,4,109.2,192,14268,2450,105.1,123,98,7.0,1814,59.9,
9:52:14 AM,,1948,83,186.8,0,77.1,0,67.3,4,108.0,192,14136,2429,101.9,123,98,7.0,1814,64.0,
9:52:15 AM,,1952,83,186.8,0,77.1,0,67.3,4,106.1,192,14134,2426,101.7,123,98,7.0,1814,61.3,
9:52:16 AM,,1952,83,185.0,0,77.7,0,67.3,4,108.2,192,14265,2452,104.4,123,98,7.0,1815,57.7,
9:52:17 AM,,1947,83,185.0,0,77.7,0,67.3,4,107.8,192,14153,2429,101.9,123,98,7.0,1815,57.6,
9:52:18 AM,,1950,84,185.0,0,77.7,0,66.7,4,108.0,192,14121,2427,101.4,123,98,7.0,1815,59.3,
9:52:19 AM,,1954,83,185.0,0,77.7,0,66.7,4,107.3,192,14262,2452,104.2,123,99,7.0,1815,57.7,
9:52:20 AM,,1945,83,185.0,0,77.7,0,67.3,4,109.8,192,14152,2429,103.1,123,98,7.0,1815,56.8,
9:52:22 AM,,1954,83,186.8,0,77.7,0,67.3,4,108.2,192,14125,2428,101.4,123,98,7.0,1815,59.0,
9:52:23 AM,,1953,83,185.0,0,77.7,0,67.3,4,109.0,192,14238,2444,104.1,123,98,7.0,1815,62.2,
9:52:24 AM,,1953,83,185.0,0,77.7,0,67.3,4,107.7,192,14190,2439,104.2,123,98,7.0,1815,59.5,
9:52:25 AM,,1949,83,185.0,0,77.1,0,67.3,4,107.7,192,14105,2421,101.0,123,98,7.0,1816,53.6,
9:52:26 AM,,1951,83,186.8,0,77.7,0,67.3,4,108.8,192,14224,2445,104.0,123,98,7.0,1816,56.5,
9:52:27 AM,,1950,83,185.0,0,77.1,0,66.7,4,108.6,192,14200,2437,104.2,123,98,7.0,1816,60.3,
9:52:28 AM,,1946,83,185.0,0,77.7,0,66.7,4,108.4,192,14110,2426,101.6,123,99,7.0,1816,57.6,
9:52:29 AM,,1950,83,185.0,0,77.7,0,67.3,4,106.7,192,14206,2438,103.7,123,98,7.0,1816,61.9,
9:52:30 AM,,1950,83,185.0,0,77.7,0,66.7,4,107.7,192,14228,2441,103.9,123,98,7.0,1816,59.5,
9:52:31 AM,,1951,83,185.0,0,77.7,0,66.7,4,109.8,192,14106,2425,101.9,123,99,7.0,1816,55.9,
9:52:32 AM,,1952,83,185.0,0,77.7,0,67.3,4,108.0,192,14198,2441,102.1,123,99,7.0,1816,59.7,
9:52:33 AM,,1947,83,185.0,0,77.7,0,67.3,4,102.8,192,14233,2442,103.6,123,98,7.0,1816,61.0,
9:52:34 AM,,1952,83,185.0,0,77.7,0,67.3,4,109.4,192,14114,2427,102.5,123,99,7.0,1817,59.1,
9:52:35 AM,,1953,83,185.0,0,77.7,0,67.3,4,108.0,192,14160,2430,100.8,123,98,7.0,1817,60.9,
9:52:36 AM,,1951,83,186.8,0,77.7,0,67.9,4,110.7,192,14248,2450,102.9,123,99,7.0,1817,60.2,
9:52:37 AM,,1949,83,186.8,0,77.7,0,67.9,4,108.0,192,14121,2423,102.4,123,98,7.0,1817,61.5,
9:52:38 AM,,1945,84,185.0,0,77.1,0,67.3,4,110.4,192,14127,2424,100.4,123,98,7.0,1817,58.8,
9:52:39 AM,,1952,83,185.0,0,77.1,0,66.7,4,105.3,192,14232,2442,102.3,123,98,7.0,1817,61.1,
9:52:40 AM,,1948,84,185.0,0,77.7,0,66.7,4,109.6,192,14160,2435,103.7,123,99,7.0,1817,58.1,
9:52:41 AM,,1953,83,185.0,0,77.7,0,67.3,4,108.4,192,14145,2432,100.7,123,99,7.0,1817,56.2,
9:52:42 AM,,1954,83,186.8,0,77.7,0,67.3,4,105.9,192,14226,2441,101.9,123,98,7.0,1818,64.1,
9:52:43 AM,,1950,83,185.0,0,77.7,0,67.3,4,109.6,192,14172,2437,104.3,123,99,7.0,1818,62.3,
9:52:44 AM,,1950,83,185.0,0,77.7,0,67.3,4,107.1,192,14127,2429,100.4,123,99,7.0,1818,60.6,
9:52:45 AM,,1956,83,185.0,0,77.7,0,67.3,4,106.3,192,14223,2441,101.8,123,98,7.0,1818,60.3,
9:52:46 AM,,1946,83,185.0,0,77.7,0,67.3,4,106.9,192,14183,2438,104.7,123,99,7.0,1818,58.1,
9:52:47 AM,,1952,83,186.8,0,77.1,0,67.3,4,110.9,192,14140,2426,100.6,123,98,7.0,1818,52.8,
9:52:48 AM,,1950,83,185.0,0,77.1,0,66.7,4,107.1,192,14193,2440,101.3,123,99,7.0,1818,62.4,
9:52:49 AM,,1948,83,186.8,0,77.7,0,67.3,4,107.3,192,14218,2440,104.7,123,98,7.0,1818,64.1,
9:52:50 AM,,1949,83,185.0,0,77.7,0,67.3,4,110.6,192,14111,2426,100.5,123,99,7.0,1818,57.0,
9:52:51 AM,,1957,83,185.0,0,77.7,0,66.7,4,108.8,192,14195,2436,99.9,123,98,7.0,1819,58.6,
9:52:52 AM,,1950,83,185.0,0,77.7,0,67.3,4,108.2,192,14225,2446,103.0,123,99,7.0,1819,57.9,
9:52:53 AM,,1949,83,185.0,0,77.7,0,66.7,4,107.1,192,14117,2427,100.9,123,99,7.0,1819,62.0,
9:52:54 AM,,1952,83,186.8,0,77.1,0,67.3,4,106.5,192,14140,2426,98.7,123,98,7.0,1819,58.6,
9:52:55 AM,,1949,83,185.0,0,77.7,0,67.3,4,111.1,192,14201,2437,102.0,123,98,7.0,1819,60.6,
9:52:56 AM,,1950,83,185.0,0,77.7,0,67.3,4,107.7,192,14129,2425,102.1,123,98,7.0,1819,62.3,
9:52:57 AM,,1952,83,185.0,0,77.1,0,66.7,4,106.9,192,14155,2429,99.1,123,98,7.0,1819,60.8,
9:52:58 AM,,1951,83,185.0,0,77.1,0,67.3,4,106.7,192,14235,2447,102.4,123,99,7.0,1819,57.9,
9:52:59 AM,,1947,83,185.0,0,77.1,0,67.9,4,110.4,192,14127,2429,102.4,123,99,7.0,1820,60.6,
9:53:00 AM,,1949,83,186.8,0,77.7,0,67.3,4,109.4,192,14109,2421,98.5,123,98,7.0,1820,61.6,
9:53:01 AM,,1949,83,186.8,0,77.7,0,67.3,4,106.1,192,14212,2439,102.3,123,98,7.0,1820,60.4,
9:53:02 AM,,1946,83,186.8,0,77.7,0,67.3,4,107.1,192,14174,2432,103.8,123,98,7.0,1820,58.6,
9:53:03 AM,,1952,84,186.8,0,77.7,0,67.3,4,110.6,192,14120,2428,98.3,123,99,7.0,1820,56.8,
9:53:04 AM,,1951,83,186.8,0,77.7,0,67.3,4,108.0,192,14212,2439,101.7,123,98,7.0,1820,57.8,
9:53:05 AM,,1955,83,186.8,0,77.7,0,67.3,4,111.3,192,14193,2440,103.9,123,99,7.0,1820,62.7,
9:53:06 AM,,1945,84,185.0,0,77.7,0,66.7,4,108.6,192,14100,2420,98.4,123,98,7.0,1820,60.1,
9:53:07 AM,,1952,83,186.8,0,77.7,0,67.3,4,109.0,192,14191,2435,100.9,123,98,7.0,1820,64.8,
9:53:08 AM,,1955,83,185.0,0,77.7,0,66.7,4,108.6,192,14208,2443,102.8,123,99,7.0,1821,61.2,
9:53:09 AM,,1948,83,186.8,0,77.7,0,67.3,4,107.5,192,14119,2423,99.1,123,98,7.0,1821,60.0,
9:53:10 AM,,1951,83,186.8,0,77.1,0,67.3,4,109.6,192,14185,2439,99.8,123,99,7.0,1821,60.3,
9:53:11 AM,,1950,83,186.8,0,77.1,0,67.3,4,109.8,192,14204,2442,102.0,123,99,7.0,1821,57.3,
9:53:12 AM,,1952,83,186.8,0,77.7,0,66.7,4,107.3,192,14111,2421,99.5,123,98,7.0,1821,62.4,
9:53:13 AM,,1951,83,186.8,0,77.7,0,67.3,4,108.6,192,14165,2431,99.6,123,98,7.0,1821,56.6,
9:53:14 AM,,1950,83,185.0,0,77.7,0,66.7,4,110.2,192,14219,2445,101.7,123,99,7.0,1821,58.7,
9:53:15 AM,,1948,83,186.8,0,77.7,0,66.7,4,106.3,192,14134,2425,100.0,123,98,7.0,1821,62.7,
9:53:16 AM,,1955,83,186.8,0,77.7,0,67.3,4,108.8,192,14143,2432,99.4,123,99,7.0,1821,61.4,
9:53:17 AM,,1948,83,185.0,0,77.7,0,67.3,4,107.3,192,14198,2436,100.0,124,98,7.0,1822,57.6,
9:53:18 AM,,1952,83,186.8,0,77.7,0,67.3,4,107.5,192,14147,2429,100.9,124,98,7.0,1822,60.4,
9:53:19 AM,,1949,83,186.8,0,77.1,0,67.3,4,108.0,192,14141,2430,98.9,124,98,7.0,1822,61.0,
9:53:20 AM,,1956,83,186.8,0,77.1,0,66.7,4,109.6,192,14190,2437,99.9,124,98,7.0,1822,55.3,
9:53:21 AM,,1951,83,186.8,0,77.1,0,66.7,4,108.8,192,14165,2433,100.8,124,98,7.0,1822,57.6,
9:53:22 AM,,1947,84,186.8,0,77.7,0,66.7,4,107.5,192,14137,2428,98.9,124,98,7.0,1822,63.2,
9:53:23 AM,,1950,83,186.8,0,77.7,0,67.3,4,107.8,192,14173,2434,99.5,124,98,7.0,1822,63.2,
9:53:24 AM,,1948,84,186.8,0,77.7,0,66.7,4,110.2,192,14188,2435,101.5,124,98,7.0,1823,58.9,
9:53:25 AM,,1946,83,186.8,0,77.7,0,67.3,4,108.2,192,14143,2430,99.6,124,98,7.0,1823,55.1,
9:53:26 AM,,1955,83,185.0,0,77.7,0,67.3,4,108.6,192,14152,2430,99.7,124,98,7.0,1823,62.2,
9:53:27 AM,,1950,83,185.0,0,77.7,0,66.7,4,111.1,192,14217,2443,100.3,124,98,7.0,1823,62.8,
9:53:28 AM,,1948,83,186.8,0,77.7,0,66.7,4,108.2,192,14139,2427,99.5,124,98,7.0,1823,57.1,
9:53:29 AM,,1955,84,186.8,0,77.7,0,67.3,4,109.8,192,14128,2424,99.0,124,98,7.0,1823,56.5,
9:53:30 AM,,1950,83,185.0,0,77.7,0,67.3,4,108.4,192,14212,2443,98.9,124,98,7.0,1823,61.4,
9:53:31 AM,,1949,83,186.8,0,77.7,0,67.3,4,110.2,192,14154,2429,99.2,124,98,7.0,1823,62.7,
9:53:32 AM,,1948,84,186.8,0,77.7,0,67.3,4,107.8,192,14123,2428,98.1,124,98,7.0,1823,63.2,
9:53:33 AM,,1949,84,186.8,0,77.1,0,67.3,4,107.8,192,14203,2438,97.9,124,98,7.0,1824,60.6,
