Time,Pump ID,Engine RPM,Engine % Load,Engine Coolant Temperature,Fuel Temperature,Fuel Pressure,Engine Oil Temperature,Engine Oil Pressure,Gear,Transmission Oil Pressure,Transmission Oil Temperature,Discharge Pressure, Hydraulic Power,Lube Oil Pressure,Lube Oil Temperature,Pump RPM,Discharge Rate,Discharge Total,Charge Pressure
12:32:05 PM,,1952,100,185.0,0,79.5,0,67.9,3,113.2,190,14235,2039,39.4,122,82,5.8,2156,54.1,
12:44:38 PM,,902,6,176.0,0,53.9,0,59.2,1,40.5,190,47,3,56.0,124,32,2.2,2221,57.7,
12:44:39 PM,,901,5,177.8,0,53.9,0,59.2,1,40.5,190,43,2,57.3,124,24,1.7,2221,53.8,
12:44:40 PM,,876,12,177.8,0,53.9,0,59.2,2,37.0,190,45,2,55.6,124,24,1.7,2221,55.5,
12:44:41 PM,,924,5,177.8,0,53.9,0,59.2,2,43.2,190,45,2,57.3,124,25,1.8,2221,56.4,
12:44:42 PM,,910,6,176.0,0,54.5,0,60.9,2,42.4,190,46,3,56.5,124,32,2.3,2221,56.3,
12:44:43 PM,,853,19,176.0,0,53.9,0,60.3,3,35.0,190,48,3,54.1,124,32,2.3,2221,58.3,
12:44:44 PM,,923,5,176.0,0,53.9,0,60.3,3,42.0,190,50,3,58.8,124,31,2.2,2221,58.5,
12:44:45 PM,,911,6,176.0,0,54.5,0,60.9,3,41.1,190,50,3,57.2,124,37,2.6,2222,60.0,
12:44:46 PM,,906,6,176.0,0,54.5,0,60.9,3,40.5,190,50,3,55.5,124,37,2.6,2222,57.9,
12:44:47 PM,,903,6,176.0,0,54.5,0,60.9,3,40.3,190,46,3,56.2,124,36,2.6,2222,54.4,
12:44:48 PM,,902,5,177.8,0,53.9,0,60.3,3,40.1,190,46,3,56.1,124,36,2.6,2222,56.2,
12:44:49 PM,,856,19,176.0,0,53.9,0,59.2,2,32.5,190,48,3,52.9,124,36,2.6,2222,57.4,
12:44:50 PM,,943,5,176.0,0,53.9,0,60.3,2,44.6,190,48,3,58.5,124,31,2.2,2222,57.3,
12:44:51 PM,,916,5,177.8,0,54.5,0,61.5,2,42.8,190,48,3,55.8,124,33,2.3,2222,57.9,
12:44:52 PM,,906,5,177.8,0,54.5,0,60.9,2,41.5,190,48,3,54.1,124,33,2.4,2222,58.1,
12:44:53 PM,,904,5,177.8,0,54.5,0,60.3,2,41.1,190,49,3,55.2,124,32,2.3,2222,58.4,
12:44:54 PM,,1077,22,177.8,0,55.1,0,62.1,2,59.7,190,45,3,65.7,124,32,2.3,2222,55.5,
12:44:55 PM,,1115,11,177.8,0,58.0,0,65.0,2,60.0,190,49,3,69.9,124,35,2.5,2222,59.6,
12:44:56 PM,,1108,11,177.8,0,59.2,0,65.5,2,59.5,190,47,3,66.9,124,40,2.8,2222,56.8,
12:44:57 PM,,1104,11,177.8,0,59.7,0,65.5,2,60.0,190,49,3,66.5,124,40,2.8,2222,57.5,
12:44:58 PM,,1101,11,177.8,0,59.7,0,66.1,2,59.7,190,48,3,64.8,124,40,2.8,2222,55.5,
12:44:59 PM,,1101,11,177.8,0,59.7,0,66.1,2,59.2,190,48,3,64.2,124,39,2.8,2222,57.2,
12:45:00 PM,,1101,11,177.8,0,59.7,0,66.1,2,59.0,190,49,3,64.1,124,39,2.8,2222,58.2,
12:45:01 PM,,1100,11,177.8,0,59.7,0,65.5,2,59.4,190,48,3,64.3,124,39,2.8,2222,56.3,
12:45:02 PM,,1101,10,177.8,0,59.7,0,65.5,2,59.4,190,48,3,63.8,124,39,2.8,2222,56.1,
12:45:03 PM,,1241,32,177.8,0,60.3,0,66.1,2,68.9,190,47,3,73.1,124,39,2.8,2222,56.7,
12:45:04 PM,,1322,17,177.8,0,63.2,0,67.3,2,73.5,190,48,3,79.7,124,41,2.9,2222,55.8,
12:45:05 PM,,1308,16,177.8,0,64.4,0,68.4,2,71.8,190,46,4,78.6,124,46,3.3,2222,56.8,
12:45:06 PM,,1303,16,177.8,0,65.5,0,68.4,2,71.4,190,49,4,76.5,124,47,3.4,2222,56.8,
12:45:07 PM,,1302,16,177.8,0,65.5,0,68.4,2,70.6,190,47,4,76.7,124,47,3.3,2223,55.4,
12:45:08 PM,,1302,15,177.8,0,65.5,0,67.9,2,71.8,189,48,4,76.9,124,47,3.3,2223,56.5,
12:45:09 PM,,1302,16,177.8,0,65.5,0,68.4,2,72.0,189,49,4,78.9,124,47,3.3,2223,59.8,
12:45:10 PM,,1464,32,177.8,0,66.1,0,68.4,2,80.6,189,49,4,88.8,124,47,3.4,2223,57.8,
12:45:11 PM,,1522,21,177.8,0,69.0,0,70.2,2,87.7,189,50,4,91.6,124,51,3.6,2223,57.4,
