Time,Pump ID,Engine RPM,Engine % Load,Engine Coolant Temperature,Fuel Temperature,Fuel Pressure,Engine Oil Temperature,Engine Oil Pressure,Gear,Transmission Oil Pressure,Transmission Oil Temperature,Discharge Pressure, Hydraulic Power,Lube Oil Pressure,Lube Oil Temperature,Pump RPM,Discharge Rate,Discharge Total,Charge Pressure
4:55:00 PM,,0,0,154.4,124,4.1,141,0.0,0,-0.4,126,-7,0,-0.8,101,0,0.0,190,0.1,
5:41:01 PM,,700,6,179.6,171,105.6,177,46.4,0,212.5,177,28,1,48.3,121,22,1.1,443,52.2,
5:41:02 PM,,700,6,179.6,171,105.6,177,46.4,0,212.3,177,29,1,48.1,121,22,1.1,443,52.5,
5:41:03 PM,,700,6,179.6,171,105.6,177,46.4,0,212.6,177,28,1,48.4,121,22,1.1,443,50.4,
5:41:04 PM,,700,6,179.6,171,105.6,177,46.4,0,212.6,177,29,1,48.4,121,22,1.1,443,54.5,
5:41:05 PM,,700,5,179.6,171,105.6,177,46.4,0,212.8,177,33,1,48.2,121,22,1.1,443,53.3,
5:41:06 PM,,700,6,179.6,171,105.6,177,46.4,0,212.4,177,32,1,48.0,121,22,1.1,443,54.5,
5:41:07 PM,,698,7,179.6,171,105.6,177,46.4,0,212.5,177,33,1,47.9,121,22,1.1,443,55.1,
5:41:08 PM,,700,6,179.6,171,105.6,177,46.4,0,212.2,177,30,1,48.5,121,22,1.1,443,53.8,
5:41:09 PM,,700,6,179.6,171,105.6,177,46.4,0,212.5,177,29,1,48.2,121,22,1.1,443,53.3,
5:41:10 PM,,700,6,179.6,171,105.6,177,46.4,0,212.6,177,33,1,48.2,121,21,1.1,443,55.5,
5:41:11 PM,,700,6,179.6,171,105.6,177,46.4,0,212.2,177,28,1,48.4,121,22,1.1,443,51.4,
5:41:12 PM,,700,7,179.6,171,105.6,177,46.4,0,212.6,177,31,1,48.0,121,22,1.1,443,51.9,
5:41:13 PM,,701,6,179.6,171,105.6,177,46.4,0,212.6,177,29,1,48.5,121,21,1.1,443,52.2,
5:41:14 PM,,700,6,179.6,171,105.6,177,46.4,0,212.2,177,28,1,48.4,121,22,1.1,443,52.7,
5:41:15 PM,,700,6,179.6,171,105.6,177,46.4,0,212.5,177,33,1,48.0,121,21,1.1,443,53.4,
5:41:16 PM,,700,6,179.6,171,105.6,177,46.4,0,212.5,177,23,1,48.0,121,22,1.1,443,48.1,
5:41:17 PM,,700,6,179.6,171,105.6,177,46.4,0,212.6,177,28,1,48.4,121,21,1.1,443,49.9,
5:41:18 PM,,700,6,179.6,171,105.6,177,46.4,0,212.3,177,29,1,48.1,121,22,1.1,443,53.6,
5:41:19 PM,,700,6,179.6,171,105.6,177,46.4,0,212.4,177,29,1,48.5,121,21,1.1,443,53.3,
5:41:20 PM,,700,6,179.6,171,105.6,177,46.4,0,212.5,177,28,1,47.8,121,21,1.1,443,52.1,
5:41:21 PM,,700,6,179.6,171,105.6,177,46.4,0,212.6,177,28,1,48.0,121,21,1.1,443,51.4,
5:41:22 PM,,700,6,179.6,171,105.6,177,46.4,0,212.7,177,29,1,48.3,121,21,1.1,443,52.2,
5:41:23 PM,,700,6,179.6,171,105.6,177,46.4,0,212.6,177,34,1,48.5,121,21,1.1,443,56.5,
5:41:24 PM,,700,6,179.6,171,105.6,177,46.4,0,212.5,177,27,1,48.2,121,21,1.1,443,51.0,
5:41:25 PM,,700,5,179.6,171,105.6,177,46.4,0,212.5,177,28,1,48.5,121,21,1.1,443,52.4,
5:41:26 PM,,700,6,179.6,169,105.6,177,46.4,0,213.0,177,34,1,48.0,121,21,1.1,443,53.5,
5:41:27 PM,,698,7,179.6,169,105.6,177,46.4,0,212.6,177,28,1,48.0,121,21,1.1,443,53.4,
5:41:28 PM,,700,6,179.6,169,105.6,177,46.4,0,212.6,177,28,1,48.2,121,21,1.1,443,51.5,
5:41:29 PM,,700,6,179.6,169,105.6,177,46.4,0,212.3,177,29,1,48.2,121,21,1.1,443,52.1,
5:41:30 PM,,700,6,179.6,169,105.6,177,46.4,0,212.6,177,29,1,48.0,121,21,1.1,443,54.4,
5:41:31 PM,,701,6,179.6,169,105.6,177,46.4,1,133.7,177,30,1,48.3,121,21,1.1,443,52.6,
5:41:32 PM,,684,18,179.6,169,105.0,177,44.7,2,181.9,177,33,1,47.6,121,22,1.1,443,53.4,
5:41:33 PM,,712,7,179.6,169,105.6,177,47.6,2,214.7,177,28,1,49.0,121,37,1.9,443,51.0,
5:41:34 PM,,656,58,179.6,169,105.6,177,46.4,3,120.0,177,32,2,45.3,121,41,2.1,443,53.0,
5:41:35 PM,,709,22,179.6,169,104.4,177,44.7,4,127.3,177,29,1,48.9,121,37,1.9,444,53.3,
5:41:36 PM,,720,13,179.6,169,105.6,177,48.1,5,169.2,177,29,2,49.7,121,56,2.9,444,52.6,
5:41:37 PM,,704,11,179.6,169,105.6,177,47.0,6,163.6,177,32,3,48.3,121,69,3.6,444,54.1,
5:41:38 PM,,685,31,179.6,169,105.0,177,44.1,6,169.7,177,28,2,48.0,121,66,3.4,444,52.4,
5:41:39 PM,,679,30,179.6,169,105.6,177,47.6,7,128.2,177,34,3,46.5,121,75,3.9,444,54.0,
5:41:40 PM,,717,23,179.6,169,105.0,177,46.4,7,166.2,177,30,3,49.5,121,83,4.3,444,53.2,
