Time,Pump ID,Engine RPM,Engine % Load,Engine Coolant Temperature,Fuel Temperature,Fuel Pressure,Engine Oil Temperature,Engine Oil Pressure,Gear,Transmission Oil Pressure,Transmission Oil Temperature,Discharge Pressure, Hydraulic Power,Lube Oil Pressure,Lube Oil Temperature,Pump RPM,Discharge Rate,Discharge Total,Charge Pressure
3:27:46 PM,,701,9,152.6,104,104.4,150,60.3,0,211.1,126,306,0,96.5,83,0,0.0,113,54.7,
3:27:47 PM,,698,10,152.6,104,104.4,150,60.3,0,209.6,126,306,0,95.9,83,0,0.0,113,51.9,
3:27:48 PM,,700,11,152.6,104,104.4,150,60.9,0,208.5,126,306,0,96.4,83,0,0.0,113,55.7,
3:27:49 PM,,700,10,152.6,104,104.4,150,60.9,0,210.5,126,305,0,96.5,83,0,0.0,113,56.7,
3:27:50 PM,,700,10,152.6,104,104.4,150,60.9,0,209.1,126,305,0,96.2,83,0,0.0,113,54.6,
3:27:51 PM,,700,10,152.6,104,104.4,150,60.9,0,211.3,126,301,0,96.2,83,0,0.0,113,53.5,
3:27:52 PM,,698,12,152.6,104,104.4,150,60.3,0,207.6,126,301,0,96.0,83,0,0.0,113,52.7,
3:27:53 PM,,700,11,152.6,104,104.4,150,60.3,0,209.8,126,300,0,96.5,83,0,0.0,113,54.2,
3:27:54 PM,,701,11,152.6,104,104.4,150,60.3,0,209.6,126,300,0,96.4,83,0,0.0,113,54.3,
3:27:55 PM,,700,11,152.6,104,104.4,150,60.3,0,210.9,126,300,0,96.4,83,0,0.0,113,52.9,
3:27:56 PM,,700,11,152.6,104,104.4,150,60.9,0,206.3,126,300,0,96.3,83,0,0.0,113,53.1,
3:27:57 PM,,700,10,152.6,104,104.4,150,60.3,0,208.2,126,299,0,96.3,83,0,0.0,113,52.8,
3:27:58 PM,,700,10,152.6,104,104.4,150,60.3,0,211.4,126,300,0,96.3,83,0,0.0,113,55.0,
3:27:59 PM,,700,10,152.6,104,104.4,150,60.3,0,207.9,126,299,0,96.2,83,0,0.0,113,51.8,
3:28:00 PM,,700,10,152.6,104,105.0,150,60.3,0,211.9,126,296,0,96.3,83,0,0.0,113,53.6,
3:28:01 PM,,700,10,152.6,104,104.4,150,60.3,0,208.9,126,296,0,96.1,83,0,0.0,113,55.4,
3:28:02 PM,,700,10,152.6,104,104.4,150,60.3,0,209.1,126,295,0,96.1,83,0,0.0,113,54.0,
3:28:03 PM,,699,10,152.6,104,105.0,150,60.3,0,207.4,126,294,0,96.0,83,0,0.0,113,54.1,
3:28:04 PM,,700,10,152.6,104,104.4,150,60.3,0,209.3,126,294,0,96.2,83,0,0.0,113,53.1,
3:28:05 PM,,700,9,152.6,104,104.4,150,60.3,0,210.9,126,294,0,95.7,83,0,0.0,113,53.3,
3:28:06 PM,,700,10,152.6,104,104.4,150,60.3,0,209.8,126,294,0,95.8,83,0,0.0,113,53.9,
