Time,Pump ID,Engine RPM,Engine % Load,Engine Coolant Temperature,Fuel Temperature,Fuel Pressure,Engine Oil Temperature,Engine Oil Pressure,Gear,Transmission Oil Pressure,Transmission Oil Temperature,Discharge Pressure, Hydraulic Power,Lube Oil Pressure,Lube Oil Temperature,Pump RPM,Discharge Rate,Discharge Total,Charge Pressure
8:02:10 AM,,700,10,140.0,95,118.3,138,70.2,0,221.3,120,-27,-2,88.0,93,47,2.4,2033,9.2,
8:02:11 AM,,700,10,140.0,95,118.3,138,70.2,0,211.6,120,-27,-2,88.2,93,47,2.4,2033,9.0,
8:02:12 AM,,701,9,140.0,95,118.3,138,70.2,0,221.7,120,-26,-2,88.5,93,47,2.4,2033,9.3,
8:02:13 AM,,700,9,140.0,95,117.7,138,70.2,0,211.0,120,-26,-2,87.7,93,47,2.4,2033,9.1,
8:02:14 AM,,700,9,140.0,95,117.7,138,69.6,0,207.7,120,-27,-2,88.1,93,47,2.4,2034,8.6,
8:02:15 AM,,700,9,140.0,95,118.3,138,69.6,0,213.4,120,-28,-2,88.5,93,47,2.4,2034,9.2,
8:20:12 AM,,1949,100,179.6,124,144.4,171,106.1,7,202.9,146,5229,2037,134.7,103,307,15.9,2127,48.6,
8:20:13 AM,,1949,100,179.6,124,144.4,171,106.7,7,202.3,146,5234,2038,134.6,103,307,15.9,2127,48.4,
8:20:14 AM,,1949,100,179.6,124,144.4,172,106.7,7,200.8,146,5228,2036,133.9,103,307,15.9,2127,51.3,
8:20:15 AM,,1949,100,179.6,124,144.4,172,106.1,7,204.2,146,5233,2038,134.1,103,307,15.9,2127,49.3,
8:20:16 AM,,1949,100,179.6,124,144.4,172,106.1,7,203.3,146,5232,2038,134.5,103,307,15.9,2128,46.8,
8:20:17 AM,,1949,100,179.6,124,144.4,172,106.1,7,203.1,146,5235,2039,134.0,103,307,15.9,2128,48.3,
8:20:18 AM,,1949,100,181.4,124,144.4,173,106.1,7,202.3,147,5238,2040,133.8,103,307,15.9,2128,49.6,
