Time,Pump ID,Engine RPM,Engine % Load,Engine Coolant Temperature,Fuel Temperature,Fuel Pressure,Engine Oil Temperature,Engine Oil Pressure,Gear,Transmission Oil Pressure,Transmission Oil Temperature,Discharge Pressure, Hydraulic Power,Lube Oil Pressure,Lube Oil Temperature,Pump RPM,Discharge Rate,Discharge Total,Charge Pressure
6:03:09 PM,,700,6,168.8,131,103.8,166,50.5,9,211.5,160,102,0,73.8,100,0,0.0,176,49.8,
6:25:17 PM,,1949,100,188.6,171,129.9,179,102.7,7,184.6,181,5338,2079,102.0,115,307,15.9,474,40.4,
6:25:18 PM,,1949,100,188.6,171,129.9,179,102.7,7,185.1,181,5337,2079,102.9,115,307,15.9,474,38.5,
6:25:19 PM,,1949,100,188.6,171,129.3,179,102.7,7,186.1,181,5333,2077,103.0,115,307,15.9,475,38.8,
6:25:20 PM,,1949,100,188.6,171,129.3,179,102.7,7,183.0,181,5339,2082,101.5,115,307,15.9,475,37.7,
6:25:21 PM,,1948,100,188.6,171,129.9,179,102.7,7,183.0,181,5335,2079,101.4,115,307,15.9,475,38.8,
6:25:22 PM,,1950,100,188.6,171,129.3,179,102.7,7,187.7,181,5330,2076,102.5,115,307,15.9,475,38.4,
6:25:23 PM,,1949,100,188.6,171,129.9,179,102.7,7,184.6,181,5328,2075,102.2,115,307,15.9,476,39.1,
6:25:24 PM,,1950,100,188.6,171,129.9,179,102.7,7,182.6,180,5338,2079,102.8,115,307,15.9,476,37.9,
6:25:25 PM,,1949,100,188.6,171,129.3,179,102.7,7,184.0,180,5345,2084,102.2,115,307,15.9,476,39.1,
6:25:26 PM,,1949,100,188.6,171,129.9,179,102.7,7,182.3,180,5349,2084,101.2,115,307,15.9,477,39.0,
6:25:27 PM,,1949,99,188.6,171,129.3,179,102.7,7,181.7,180,5339,2079,102.0,115,307,15.9,477,36.0,
6:25:28 PM,,1950,100,188.6,171,129.9,179,102.7,7,182.6,180,5340,2080,101.7,115,307,15.9,477,36.0,
6:25:29 PM,,1949,100,188.6,171,129.9,180,102.1,7,185.1,180,5341,2080,101.8,115,307,15.9,477,39.0,
6:25:30 PM,,1950,100,188.6,171,129.9,180,102.7,7,182.6,180,5346,2085,101.7,115,307,15.9,478,35.7,
6:25:31 PM,,1949,100,188.6,171,129.3,180,102.7,7,183.8,180,5346,2082,101.2,115,307,15.9,478,38.3,
6:25:32 PM,,1949,100,188.6,171,129.3,180,102.7,7,184.9,180,5339,2079,101.3,115,307,15.9,478,38.7,
6:25:33 PM,,1949,100,188.6,171,129.3,180,102.7,7,186.1,180,5331,2076,102.4,115,307,15.9,478,38.0,
6:25:34 PM,,1949,100,188.6,171,129.9,180,102.7,7,184.0,180,5334,2077,102.6,115,307,15.9,479,39.0,
6:25:35 PM,,1949,100,188.6,171,129.3,180,102.1,7,185.3,180,5335,2081,102.6,115,307,15.9,479,36.3,
6:25:36 PM,,1950,100,188.6,171,129.9,180,102.1,7,184.2,180,5345,2082,101.1,115,307,15.9,479,41.5,
6:25:37 PM,,1949,100,188.6,171,129.3,180,102.1,7,185.5,180,5336,2078,100.9,115,307,15.9,479,38.3,
6:25:38 PM,,1949,100,188.6,171,129.3,180,102.7,7,184.0,180,5338,2079,101.7,115,307,15.9,480,41.3,
6:25:39 PM,,1949,100,188.6,171,129.9,180,102.7,7,184.9,180,5342,2081,102.3,115,307,15.9,480,35.6,
6:25:40 PM,,1949,100,188.6,171,129.3,180,102.7,7,182.4,180,5340,2083,102.8,115,307,15.9,480,37.7,
6:25:41 PM,,1950,100,188.6,171,129.3,180,102.7,7,185.3,180,5351,2084,101.5,115,307,15.9,480,39.6,
6:25:42 PM,,1949,100,188.6,171,129.3,180,102.7,7,184.4,180,5353,2085,101.0,115,307,15.9,481,35.5,
6:25:43 PM,,1949,100,188.6,171,129.3,180,102.7,7,184.8,180,5344,2081,102.0,115,307,15.9,481,37.0,
6:25:44 PM,,1947,100,190.4,171,129.3,180,102.1,7,183.8,180,5333,2077,102.2,116,307,15.9,481,37.6,
6:25:45 PM,,1947,100,190.4,171,129.9,180,102.1,7,182.8,180,5326,2074,102.1,116,307,15.9,482,37.1,
6:25:46 PM,,1947,100,190.4,171,129.3,180,102.7,7,185.3,180,5329,2072,102.6,116,306,15.9,482,36.9,
6:25:47 PM,,1948,100,190.4,171,129.3,180,102.1,7,183.0,180,5334,2074,100.8,116,306,15.9,482,38.8,
6:25:48 PM,,1947,100,190.4,171,129.3,180,102.1,7,184.8,180,5328,2075,100.5,116,307,15.9,482,38.6,
6:25:49 PM,,1948,100,190.4,171,129.3,180,102.1,7,183.2,180,5325,2074,101.7,116,307,15.9,483,38.3,
6:25:50 PM,,1947,100,190.4,171,129.3,180,102.7,7,184.9,180,5332,2073,101.4,116,306,15.9,483,38.5,
6:25:51 PM,,1948,100,190.4,171,129.3,180,102.7,7,184.6,180,5333,2074,102.1,116,306,15.9,483,39.8,
6:25:52 PM,,1948,100,190.4,171,129.3,180,102.7,7,187.5,180,5340,2080,101.2,116,307,15.9,483,33.8,
6:25:53 PM,,1947,100,190.4,171,129.3,180,102.1,7,187.7,180,5346,2079,100.9,116,306,15.9,484,38.1,
6:25:54 PM,,1947,100,190.4,171,129.3,180,102.1,7,184.9,180,5334,2077,101.4,116,307,15.9,484,38.3,
6:25:55 PM,,1948,100,190.4,172,129.3,180,102.7,7,185.7,180,5327,2072,101.0,116,306,15.9,484,37.1,
6:25:56 PM,,1947,100,190.4,172,129.9,180,102.1,7,182.6,180,5323,2073,102.2,116,307,15.9,484,36.3,
6:25:57 PM,,1947,100,190.4,172,129.9,180,102.1,7,183.8,180,5326,2071,102.1,116,306,15.9,485,37.9,
6:25:58 PM,,1947,100,190.4,172,129.3,180,102.1,7,185.5,180,5333,2077,100.8,116,307,15.9,485,39.5,
6:25:59 PM,,1947,100,190.4,172,129.3,180,102.1,7,185.5,180,5337,2076,100.6,116,306,15.9,485,38.5,
6:26:00 PM,,1947,100,190.4,172,129.3,180,102.1,7,183.2,180,5331,2076,101.4,116,307,15.9,486,35.8,
6:26:01 PM,,1947,100,190.4,172,129.3,180,102.1,7,184.8,180,5336,2075,101.2,116,306,15.9,486,38.2,
6:26:02 PM,,1947,100,190.4,172,129.3,180,102.7,7,184.0,180,5339,2079,102.0,116,307,15.9,486,39.6,
6:26:03 PM,,1947,100,190.4,172,129.3,180,102.7,7,182.3,180,5343,2078,101.7,116,306,15.9,486,37.0,
6:26:04 PM,,1947,100,190.4,172,129.3,180,102.7,7,185.5,180,5342,2081,100.5,116,307,15.9,487,38.5,
6:26:05 PM,,1947,100,190.4,172,129.3,180,102.1,7,184.4,180,5336,2075,100.8,116,306,15.9,487,38.4,
6:26:06 PM,,1947,100,190.4,172,129.3,180,102.1,7,185.7,180,5325,2074,101.8,117,307,15.9,487,37.1,
6:26:07 PM,,1947,100,190.4,172,129.3,179,102.7,7,185.5,180,5328,2072,102.4,117,306,15.9,487,40.0,
6:26:08 PM,,1947,100,190.4,172,129.3,179,102.7,7,184.8,180,5325,2074,102.3,117,307,15.9,488,36.8,
6:26:10 PM,,1947,100,188.6,172,129.3,179,102.7,7,184.8,180,5343,2078,101.1,117,306,15.9,488,41.4,
6:26:11 PM,,1949,100,188.6,172,129.9,179,102.7,7,184.0,180,5355,2086,100.4,117,307,15.9,488,37.9,
6:26:12 PM,,1949,100,188.6,172,129.3,179,102.7,7,184.9,180,5339,2079,100.8,117,307,15.9,488,36.7,
6:26:13 PM,,1949,100,188.6,172,129.9,179,102.7,7,184.4,180,5347,2082,101.8,117,307,15.9,489,35.9,
6:26:14 PM,,1949,100,188.6,172,129.9,179,102.7,7,184.4,180,5350,2084,102.4,117,307,15.9,489,41.6,
6:26:15 PM,,1950,100,188.6,172,129.3,179,102.7,7,184.8,180,5353,2088,101.4,117,307,15.9,489,38.2,
6:26:16 PM,,1949,100,188.6,172,129.3,179,102.7,7,183.4,180,5350,2084,100.5,117,307,15.9,489,36.0,
6:26:17 PM,,1949,100,188.6,172,129.9,179,102.7,7,185.1,180,5347,2082,100.3,117,307,15.9,490,36.6,
6:26:18 PM,,1949,100,188.6,172,129.9,179,102.7,7,185.9,180,5340,2080,100.7,117,307,15.9,490,38.5,
6:26:19 PM,,1950,100,188.6,172,129.3,179,102.7,7,184.8,180,5338,2079,102.1,117,307,15.9,490,39.4,
6:26:20 PM,,1950,100,188.6,172,129.9,178,102.7,7,186.9,180,5340,2083,102.2,117,307,15.9,491,37.8,
6:26:21 PM,,1949,100,188.6,172,129.3,178,102.7,7,181.8,180,5346,2082,101.0,117,307,15.9,491,36.5,
6:26:22 PM,,1949,100,188.6,172,129.3,178,102.7,7,186.9,180,5345,2082,100.0,117,307,15.9,491,38.0,
6:26:23 PM,,1949,100,188.6,172,129.3,179,102.7,7,182.6,180,5338,2079,101.0,117,307,15.9,492,39.9,
6:26:24 PM,,1949,100,188.6,172,129.3,179,102.7,7,186.7,180,5341,2080,101.5,117,307,15.9,492,38.4,
6:26:25 PM,,1949,100,188.6,172,129.9,179,102.7,7,184.2,180,5345,2082,101.9,117,307,15.9,492,37.4,
6:26:26 PM,,1949,100,188.6,172,129.3,179,102.7,7,183.2,180,5354,2087,101.6,117,307,15.9,492,40.8,
6:26:27 PM,,1949,100,188.6,172,129.9,179,102.1,7,183.2,180,5358,2088,100.8,117,307,15.9,493,35.6,
6:26:28 PM,,1949,100,188.6,172,129.3,179,102.1,7,183.2,180,5352,2085,101.3,117,307,15.9,493,37.7,
6:26:29 PM,,1949,100,188.6,172,129.3,179,102.1,7,184.0,180,5347,2083,101.4,117,307,15.9,493,39.8,
6:26:30 PM,,1949,100,188.6,172,129.9,179,102.7,7,184.4,180,5347,2082,102.0,117,307,15.9,493,38.0,
6:26:31 PM,,1950,100,188.6,172,129.3,179,102.7,7,182.4,180,5343,2081,101.3,117,307,15.9,494,38.7,
6:26:32 PM,,1949,100,188.6,172,129.9,180,102.7,7,185.3,180,5353,2085,100.5,117,307,15.9,494,36.8,
6:26:33 PM,,1949,100,188.6,172,129.3,180,102.1,7,183.4,180,5339,2082,100.7,117,307,15.9,494,35.5,
6:26:34 PM,,1949,100,188.6,172,129.3,180,102.7,7,184.8,180,5336,2079,101.5,117,307,15.9,495,39.8,
6:26:35 PM,,1949,100,188.6,172,129.9,180,102.7,7,184.0,180,5335,2078,101.5,117,307,15.9,495,39.2,
6:26:36 PM,,1949,100,188.6,172,129.9,180,102.1,7,183.8,180,5340,2080,101.8,118,307,15.9,495,37.6,
6:26:37 PM,,1948,100,188.6,172,129.3,180,102.1,7,186.5,180,5348,2083,101.4,118,307,15.9,495,37.7,
6:26:38 PM,,1949,100,188.6,172,129.9,180,102.1,7,184.9,180,5354,2085,100.5,118,307,15.9,496,40.0,
6:26:39 PM,,1949,100,188.6,172,129.9,180,102.1,7,187.8,180,5348,2083,100.8,118,307,15.9,496,37.7,
6:26:40 PM,,1949,100,188.6,172,129.9,180,102.1,7,184.9,180,5350,2086,101.4,118,307,15.9,496,38.2,
6:26:41 PM,,1950,100,188.6,172,129.3,180,102.1,7,184.0,180,5350,2084,101.4,118,307,15.9,496,37.1,
6:26:42 PM,,1949,100,188.6,172,129.3,180,102.7,7,185.5,180,5355,2085,100.7,118,307,15.9,497,34.6,
6:26:43 PM,,1949,100,188.6,172,129.3,180,102.7,7,184.8,180,5351,2084,100.9,118,307,15.9,497,36.7,
6:26:44 PM,,1948,100,190.4,172,129.9,180,102.1,7,185.5,180,5347,2083,99.8,118,307,15.9,497,39.0,
6:26:45 PM,,1947,100,190.4,172,129.3,180,102.1,7,187.3,180,5328,2075,101.8,118,307,15.9,497,37.1,
6:26:46 PM,,1947,100,190.4,172,129.3,180,102.1,7,183.2,180,5328,2072,100.6,118,306,15.9,498,37.5,
6:26:47 PM,,1947,100,190.4,172,129.3,180,102.1,7,186.3,180,5333,2077,100.8,118,307,15.9,498,38.7,
6:26:48 PM,,1947,100,190.4,172,129.3,180,102.1,7,183.4,180,5340,2077,100.1,118,306,15.9,498,41.1,
6:26:49 PM,,1947,100,190.4,172,129.3,180,102.1,7,185.5,180,5340,2077,100.3,118,306,15.9,498,39.1,
6:26:50 PM,,1947,100,190.4,172,129.3,180,102.1,7,185.1,181,5339,2079,101.2,118,307,15.9,499,39.1,
6:26:51 PM,,1948,100,190.4,172,129.3,180,102.1,7,184.9,181,5338,2076,101.5,118,306,15.9,499,35.1,
6:26:52 PM,,1947,100,190.4,172,129.3,180,102.1,7,186.3,181,5340,2080,101.8,118,307,15.9,499,37.1,
6:26:53 PM,,1947,100,190.4,172,129.3,180,102.7,7,188.3,181,5342,2077,100.7,118,306,15.9,500,36.4,
6:26:54 PM,,1947,100,190.4,172,129.3,180,102.1,7,183.8,181,5346,2082,100.6,118,307,15.9,500,36.5,
6:26:55 PM,,1947,100,190.4,172,129.3,180,102.1,7,184.8,181,5339,2076,100.1,118,306,15.9,500,38.2,
6:26:56 PM,,1947,100,190.4,172,129.3,180,102.1,7,186.1,181,5331,2076,101.7,118,307,15.9,500,39.0,
6:26:57 PM,,1947,100,190.4,172,129.3,180,102.1,7,183.4,181,5331,2073,101.2,118,306,15.9,501,39.0,
6:26:58 PM,,1948,100,190.4,174,129.3,180,102.7,7,187.7,181,5337,2076,101.2,118,306,15.9,501,40.1,
6:26:59 PM,,1947,100,190.4,174,129.3,180,102.7,7,183.2,181,5343,2081,100.4,118,307,15.9,501,38.7,
6:27:00 PM,,1947,100,190.4,174,129.3,180,102.1,7,184.6,181,5348,2080,100.4,118,306,15.9,501,38.9,
6:27:01 PM,,1946,100,190.4,174,129.3,180,102.1,7,186.7,181,5341,2080,101.0,118,307,15.9,502,36.8,
6:27:02 PM,,1947,100,190.4,174,129.3,180,102.7,7,180.3,181,5338,2076,100.4,118,306,15.9,502,36.4,
6:27:03 PM,,1947,100,190.4,174,129.9,180,102.7,7,186.9,181,5342,2081,102.1,118,307,15.9,502,37.5,
6:27:04 PM,,1947,100,190.4,174,129.9,180,102.7,7,184.2,181,5336,2075,101.3,118,306,15.9,502,38.0,
6:27:05 PM,,1947,100,190.4,174,129.3,179,102.7,7,184.6,181,5340,2080,100.5,118,307,15.9,503,36.2,
6:27:06 PM,,1948,100,188.6,174,129.9,179,102.7,7,185.3,181,5339,2076,100.3,118,306,15.9,503,38.3,
6:27:07 PM,,1949,99,188.6,174,129.9,179,102.7,7,183.8,181,5341,2080,100.4,118,307,15.9,503,40.1,
6:27:08 PM,,1949,100,188.6,174,129.9,179,102.7,7,182.0,181,5348,2083,101.1,118,307,15.9,504,37.4,
6:27:09 PM,,1950,100,188.6,174,129.9,179,102.1,7,185.5,181,5351,2084,101.1,118,307,15.9,504,39.1,
6:27:10 PM,,1949,100,188.6,174,129.9,179,102.7,7,183.4,181,5356,2086,100.4,118,307,15.9,504,40.2,
6:27:11 PM,,1949,100,188.6,174,129.9,179,102.7,7,181.7,181,5357,2090,100.1,118,307,15.9,504,37.6,
6:27:12 PM,,1949,100,188.6,174,129.9,179,102.7,7,185.3,181,5354,2085,100.8,119,307,15.9,505,39.6,
6:27:13 PM,,1950,100,188.6,174,129.3,179,102.7,7,184.8,181,5353,2085,101.0,119,307,15.9,505,37.8,
6:27:14 PM,,1949,100,188.6,174,129.3,179,102.7,7,183.8,181,5349,2083,101.1,119,307,15.9,505,38.6,
6:27:15 PM,,1949,100,188.6,174,129.3,179,102.1,7,185.5,181,5356,2086,101.7,119,307,15.9,505,37.6,
6:27:16 PM,,1948,100,188.6,174,129.9,179,102.7,7,186.3,181,5347,2083,100.7,119,307,15.9,506,36.6,
6:27:17 PM,,1949,100,188.6,174,129.3,179,102.7,7,185.1,181,5357,2087,100.7,119,307,15.9,506,37.6,
6:27:18 PM,,1949,100,188.6,174,129.9,179,102.7,7,187.5,181,5339,2083,101.0,119,307,15.9,506,39.2,
6:27:19 PM,,1949,100,188.6,174,129.9,179,102.7,7,184.8,181,5343,2081,101.1,119,307,15.9,506,38.4,
6:27:20 PM,,1949,100,188.6,174,129.9,179,102.7,7,186.1,181,5344,2081,101.1,119,307,15.9,507,39.8,
6:27:22 PM,,1949,100,188.6,174,129.3,179,102.7,7,185.1,181,5352,2084,100.6,119,307,15.9,507,38.9,
6:27:23 PM,,1949,100,188.6,174,129.9,179,102.7,7,184.0,181,5351,2084,100.5,119,307,15.9,507,40.2,
6:27:24 PM,,1949,100,188.6,174,129.9,179,102.7,7,184.9,181,5353,2085,100.4,119,307,15.9,507,38.5,
6:27:25 PM,,1948,100,188.6,174,129.9,179,102.7,7,184.9,181,5351,2084,100.7,119,307,15.9,508,38.4,
6:27:26 PM,,1949,100,188.6,174,129.3,179,102.7,7,185.1,181,5355,2085,101.3,119,307,15.9,508,37.1,
6:27:27 PM,,1949,100,188.6,174,129.3,180,102.7,7,186.1,181,5358,2087,101.2,119,307,15.9,508,37.8,
6:27:28 PM,,1948,100,188.6,174,129.3,180,102.7,7,184.8,181,5360,2091,100.3,119,307,15.9,509,35.8,
6:27:29 PM,,1949,100,188.6,174,129.3,180,102.7,7,186.5,181,5351,2084,100.5,119,307,15.9,509,37.7,
6:27:30 PM,,1950,100,188.6,174,129.9,180,102.1,7,182.6,181,5349,2083,100.9,119,307,15.9,509,36.9,
6:27:31 PM,,1949,100,188.6,174,129.9,180,102.1,7,189.4,181,5348,2083,101.0,119,307,15.9,509,38.3,
6:27:32 PM,,1949,100,188.6,174,129.9,180,102.1,7,183.6,181,5347,2082,100.8,119,307,15.9,510,38.4,
6:27:33 PM,,1949,100,188.6,174,129.3,180,102.1,7,186.5,181,5348,2083,100.5,119,307,15.9,510,39.8,
6:27:34 PM,,1949,100,188.6,174,129.9,180,102.1,7,188.8,181,5348,2086,99.9,119,307,15.9,510,38.1,
6:27:35 PM,,1949,100,188.6,174,129.3,180,102.1,7,187.7,181,5349,2083,101.0,119,307,15.9,511,39.9,
6:27:36 PM,,1949,100,188.6,174,129.9,180,102.1,7,184.9,181,5350,2084,100.2,119,307,15.9,511,41.9,
6:27:37 PM,,1950,100,188.6,174,129.3,180,102.1,7,184.8,181,5351,2084,101.3,119,307,15.9,511,38.1,
6:27:38 PM,,1950,100,188.6,174,129.3,180,102.1,7,181.3,181,5360,2088,100.5,119,307,15.9,511,35.3,
6:27:39 PM,,1948,99,188.6,174,129.9,180,102.1,7,186.5,181,5363,2090,100.2,120,307,15.9,512,37.4,
6:27:40 PM,,1946,100,190.4,174,129.9,180,102.7,7,188.4,181,5343,2080,100.2,120,307,15.9,512,35.9,
6:27:41 PM,,1947,100,190.4,174,129.3,180,102.1,7,183.6,181,5343,2080,101.2,120,307,15.9,512,37.7,
6:27:42 PM,,1947,100,190.4,174,129.3,180,102.1,7,186.5,181,5341,2078,100.7,120,307,15.9,513,36.0,
6:27:43 PM,,1947,100,190.4,174,129.3,180,102.1,7,188.0,181,5335,2075,100.2,120,306,15.9,513,37.9,
6:27:44 PM,,1947,100,190.4,174,129.3,180,102.1,7,184.0,181,5343,2080,100.1,120,307,15.9,513,37.2,
6:27:45 PM,,1947,100,190.4,174,129.3,180,102.1,7,187.3,181,5339,2077,100.2,120,306,15.9,513,40.3,
6:27:46 PM,,1948,100,190.4,174,129.3,180,102.1,7,185.9,181,5339,2079,100.4,120,307,15.9,514,39.4,
6:27:47 PM,,1947,100,190.4,174,129.3,180,102.1,7,188.4,181,5341,2078,100.9,120,306,15.9,514,37.8,
6:27:48 PM,,1948,100,190.4,174,129.3,180,102.1,7,186.1,181,5345,2081,100.9,120,307,15.9,514,37.2,
