Time,Pump ID,Engine RPM,Engine % Load,Engine Coolant Temperature,Fuel Temperature,Fuel Pressure,Engine Oil Temperature,Engine Oil Pressure,Gear,Transmission Oil Pressure,Transmission Oil Temperature,Discharge Pressure, Hydraulic Power,Lube Oil Pressure,Lube Oil Temperature,Pump RPM,Discharge Rate,Discharge Total,Charge Pressure
2:13:42 PM,,700,11,145.4,111,106.7,144,62.1,0,208.2,129,308,10,77.3,96,24,1.3,22,56.0,
2:13:43 PM,,700,11,145.4,113,106.7,144,61.5,0,207.6,129,306,9,77.3,96,24,1.3,22,56.1,
2:13:44 PM,,701,11,145.4,113,106.7,144,61.5,0,208.4,129,307,10,77.2,96,24,1.3,22,56.1,
2:13:45 PM,,699,12,145.4,113,106.7,144,61.5,0,211.0,129,304,9,77.1,96,24,1.3,22,54.6,
2:13:46 PM,,700,11,145.4,111,107.3,145,61.5,0,206.6,129,303,9,76.8,96,24,1.3,22,56.8,
2:13:47 PM,,700,11,145.4,113,106.7,145,61.5,0,211.4,129,303,9,77.2,96,24,1.3,22,56.0,
2:13:48 PM,,700,11,145.4,113,106.7,145,62.1,0,210.3,129,306,9,77.3,96,24,1.3,22,57.3,
2:13:49 PM,,700,11,145.4,111,106.7,145,61.5,0,211.4,129,306,9,77.3,96,24,1.3,22,58.9,
2:13:50 PM,,701,11,145.4,113,106.7,145,62.1,0,210.3,129,307,9,77.3,96,24,1.2,22,58.4,
2:13:51 PM,,700,11,145.4,113,106.7,145,62.1,0,208.6,129,306,9,76.9,96,24,1.3,22,56.6,
2:13:52 PM,,700,11,145.4,113,106.7,145,61.5,0,209.9,129,306,9,77.2,96,24,1.3,22,60.0,
2:13:53 PM,,700,11,145.4,113,106.7,145,61.5,0,209.7,129,307,10,77.0,96,24,1.3,22,58.3,
3:47:28 PM,,1949,100,188.6,163,132.2,180,105.6,7,188.9,183,5212,2030,100.2,126,307,15.9,269,45.0,
3:47:29 PM,,1949,100,188.6,163,132.2,180,105.6,7,189.2,183,5205,2027,99.9,126,307,15.9,270,46.1,
3:47:30 PM,,1950,100,188.6,163,132.2,180,105.6,7,189.1,183,5199,2025,100.2,126,307,15.9,270,47.7,
3:47:31 PM,,1950,100,188.6,163,132.2,180,105.0,7,189.0,183,5200,2025,100.0,126,307,15.9,270,46.8,
3:47:32 PM,,1949,100,188.6,163,132.2,180,105.0,7,189.4,183,5206,2030,100.0,126,307,15.9,271,47.6,
3:47:33 PM,,1949,100,188.6,163,132.2,180,105.6,7,189.0,183,5202,2026,100.0,126,307,15.9,271,47.4,
3:47:34 PM,,1949,100,188.6,163,132.2,180,105.6,7,189.4,183,5209,2029,99.6,126,307,15.9,271,47.9,
3:47:35 PM,,1949,100,188.6,163,132.2,180,105.6,7,189.7,183,5207,2028,99.6,126,307,15.9,271,46.5,
3:47:37 PM,,1949,100,188.6,163,132.2,180,105.6,7,189.0,183,5206,2027,100.1,126,307,15.9,272,47.0,
3:47:38 PM,,1949,100,188.6,163,132.2,180,105.0,7,189.4,183,5211,2030,99.8,126,307,15.9,272,47.6,
3:47:39 PM,,1949,100,188.6,163,132.2,180,105.6,7,189.2,183,5213,2033,99.8,126,307,15.9,272,46.0,
3:47:40 PM,,1949,100,188.6,163,132.2,180,105.6,7,188.7,183,5213,2030,99.5,126,307,15.9,272,45.2,
3:47:41 PM,,1949,100,188.6,165,132.2,180,105.0,7,189.0,183,5211,2030,99.8,126,307,15.9,273,46.4,
3:47:42 PM,,1950,100,188.6,165,132.2,180,105.6,7,188.9,183,5209,2029,99.6,126,307,15.9,273,45.4,
3:47:43 PM,,1949,100,188.6,165,132.2,180,105.6,7,189.8,183,5213,2030,99.9,127,307,15.9,273,48.8,
3:47:44 PM,,1950,100,188.6,165,132.2,180,105.6,7,188.6,183,5210,2032,99.8,127,307,15.9,273,46.5,
3:47:45 PM,,1949,100,188.6,165,132.2,180,105.0,7,189.3,183,5212,2030,99.6,127,307,15.9,274,48.1,
3:47:46 PM,,1949,100,188.6,165,132.2,180,105.0,7,189.5,183,5209,2029,99.5,127,307,15.9,274,49.3,
3:47:47 PM,,1949,100,188.6,165,132.2,180,105.6,7,189.1,183,5207,2028,99.6,127,307,15.9,274,46.6,
3:47:48 PM,,1949,100,188.6,165,132.2,180,105.6,7,189.0,183,5204,2027,99.8,127,307,15.9,275,48.0,
3:47:49 PM,,1949,100,188.6,165,132.2,180,105.6,7,189.8,183,5212,2030,99.7,127,307,15.9,275,46.4,
3:47:50 PM,,1949,100,188.6,165,132.2,180,105.0,7,188.9,183,5210,2032,99.7,127,307,15.9,275,47.2,
3:47:51 PM,,1949,100,188.6,165,132.2,180,105.0,7,189.2,183,5216,2031,99.5,127,307,15.9,275,47.7,
3:47:52 PM,,1949,100,188.6,165,132.2,180,105.0,7,189.8,183,5214,2031,99.4,127,307,15.9,276,47.8,
3:47:53 PM,,1949,100,188.6,165,132.2,180,105.6,7,189.3,183,5210,2029,100.0,127,307,15.9,276,47.2,
3:47:54 PM,,1950,100,188.6,165,132.2,180,105.6,7,188.8,183,5215,2031,100.0,127,307,15.9,276,46.1,
3:47:55 PM,,1949,100,188.6,165,132.2,180,105.6,7,189.4,183,5212,2030,99.6,127,307,15.9,276,45.0,
3:47:56 PM,,1949,100,188.6,165,132.2,180,105.6,7,189.6,183,5216,2034,99.3,127,307,15.9,277,46.5,
3:47:57 PM,,1949,100,188.6,165,132.2,180,105.6,7,189.8,183,5213,2030,99.6,127,307,15.9,277,47.6,
3:47:58 PM,,1949,100,188.6,165,132.2,180,105.6,7,188.8,183,5208,2028,99.4,127,307,15.9,277,47.1,
3:47:59 PM,,1949,100,188.6,165,132.2,180,105.6,7,189.5,183,5207,2028,99.5,127,307,15.9,277,46.2,
3:48:00 PM,,1949,100,188.6,165,132.2,180,105.6,7,189.4,183,5208,2028,99.7,127,307,15.9,278,46.5,
3:48:01 PM,,1949,100,188.6,165,132.2,180,105.6,7,189.1,183,5206,2028,99.5,127,307,15.9,278,45.2,
3:48:02 PM,,1949,100,188.6,165,132.2,180,105.6,7,188.8,183,5213,2033,99.3,127,307,15.9,278,45.3,
3:48:03 PM,,1949,100,188.6,165,132.2,180,105.0,7,189.0,183,5209,2029,99.3,127,307,15.9,278,46.2,
3:48:04 PM,,1949,100,188.6,165,132.2,180,105.0,7,189.4,183,5210,2029,99.8,127,307,15.9,279,47.2,
3:48:05 PM,,1949,100,188.6,167,131.7,180,105.6,7,189.4,183,5217,2032,99.4,127,307,15.9,279,47.6,
3:48:06 PM,,1950,100,188.6,167,132.2,180,105.0,7,189.4,183,5215,2031,99.5,127,307,15.9,279,49.6,
3:48:07 PM,,1949,100,188.6,167,132.2,180,105.0,7,189.7,183,5218,2032,99.5,127,307,15.9,280,46.5,
3:48:08 PM,,1949,100,188.6,167,132.2,180,105.0,7,189.2,183,5219,2036,99.1,127,307,15.9,280,47.8,
3:48:09 PM,,1949,100,188.6,167,132.2,180,105.0,7,189.0,183,5209,2029,99.3,127,307,15.9,280,47.8,
3:48:10 PM,,1950,100,188.6,167,132.2,180,105.6,7,189.9,183,5209,2029,99.2,127,307,15.9,280,46.1,
3:48:11 PM,,1949,100,188.6,167,132.2,180,105.0,7,189.5,183,5214,2031,99.0,127,307,15.9,281,44.8,
3:48:12 PM,,1949,100,188.6,167,132.2,180,105.0,7,189.2,183,5210,2029,99.3,128,307,15.9,281,47.6,
3:48:13 PM,,1949,100,188.6,167,132.2,180,105.0,7,189.1,183,5208,2028,98.8,128,307,15.9,281,48.8,
3:48:14 PM,,1949,100,188.6,167,132.2,180,105.0,7,189.0,183,5209,2032,99.2,128,307,15.9,281,47.9,
3:48:15 PM,,1950,100,188.6,167,132.2,180,105.0,7,189.2,183,5205,2027,99.3,128,307,15.9,282,48.6,
3:48:16 PM,,1949,100,190.4,167,132.2,180,105.0,7,189.5,183,5213,2030,99.4,128,307,15.9,282,46.7,
3:48:17 PM,,1947,100,190.4,167,132.2,180,105.0,7,189.2,183,5203,2026,99.0,128,307,15.9,282,47.0,
3:48:18 PM,,1947,100,190.4,167,131.7,180,105.0,7,188.9,183,5207,2027,99.1,128,307,15.9,283,47.6,
3:48:19 PM,,1947,100,190.4,167,132.2,180,105.0,7,189.2,183,5205,2025,99.1,128,307,15.9,283,48.8,
3:48:20 PM,,1947,100,190.4,167,132.2,180,105.0,7,189.5,183,5201,2024,99.1,128,307,15.9,283,48.3,
3:48:21 PM,,1947,100,190.4,167,132.2,180,105.0,7,189.4,183,5202,2025,99.2,128,307,15.9,284,46.7,
