Time,Pump ID,Engine RPM,Engine % Load,Engine Coolant Temperature,Fuel Temperature,Fuel Pressure,Engine Oil Temperature,Engine Oil Pressure,Gear,Transmission Oil Pressure,Transmission Oil Temperature,Discharge Pressure, Hydraulic Power,Lube Oil Pressure,Lube Oil Temperature,Pump RPM,Discharge Rate,Discharge Total,Charge Pressure
1:35:44 PM,Tucker 9,700,7,127.4,99,104.4,125,82.4,0,216.4,113,68,4,98.5,93,48,2.5,2385,46.3,
1:35:45 PM,Tucker 9,700,7,127.4,99,104.4,125,82.4,0,216.6,113,69,4,98.6,93,48,2.5,2385,49.1,
1:35:46 PM,Tucker 9,699,8,127.4,99,103.8,125,82.4,0,216.5,113,68,4,98.3,93,48,2.5,2385,50.8,
1:35:47 PM,Tucker 9,701,7,127.4,99,103.8,125,82.4,0,216.1,113,68,4,98.4,93,48,2.5,2385,49.4,
1:35:48 PM,Tucker 9,700,8,127.4,99,103.8,125,82.4,0,216.5,113,68,4,97.7,93,48,2.5,2385,49.0,
1:35:49 PM,Tucker 9,700,7,127.4,99,103.8,125,82.4,0,215.4,113,69,4,98.3,93,48,2.5,2385,49.5,
1:35:50 PM,Tucker 9,700,7,127.4,99,103.8,125,82.4,0,215.1,113,68,4,98.2,93,48,2.5,2385,50.3,
1:35:51 PM,Tucker 9,699,8,127.4,99,103.8,125,82.4,0,215.1,113,73,4,98.3,93,48,2.5,2385,48.6,
1:35:52 PM,Tucker 9,700,8,127.4,99,103.8,125,82.4,0,215.6,113,68,4,97.9,93,48,2.5,2385,48.4,
1:35:53 PM,Tucker 9,700,8,127.4,99,103.8,125,82.4,0,217.3,113,68,4,97.8,93,48,2.5,2386,47.8,
1:35:54 PM,Tucker 9,700,8,127.4,99,103.8,125,82.4,0,217.0,113,70,4,98.0,93,48,2.5,2386,50.5,
1:35:55 PM,Tucker 9,700,8,127.4,99,103.8,125,82.4,0,214.4,113,70,4,98.3,93,48,2.5,2386,48.1,
1:35:56 PM,Tucker 9,700,8,127.4,99,103.8,125,82.4,0,216.3,113,68,4,98.4,93,48,2.5,2386,50.6,
1:35:57 PM,Tucker 9,700,8,127.4,99,103.8,125,82.4,0,214.5,113,74,4,98.4,93,48,2.5,2386,50.2,
1:35:58 PM,Tucker 9,700,8,127.4,99,103.8,125,82.4,0,215.9,113,69,4,97.5,93,48,2.5,2386,49.4,
1:35:59 PM,Tucker 9,700,8,127.4,99,103.8,125,82.4,0,216.0,113,68,4,97.9,93,48,2.5,2386,48.1,
1:36:00 PM,Tucker 9,700,8,127.4,99,103.8,125,82.4,0,216.4,113,73,4,98.1,93,48,2.5,2386,50.4,
1:36:01 PM,Tucker 9,701,7,127.4,99,103.8,125,82.4,0,215.8,113,74,5,98.7,93,48,2.5,2386,50.2,
1:36:02 PM,Tucker 9,701,7,127.4,99,103.8,125,81.8,0,215.7,113,70,4,98.3,93,48,2.5,2386,48.5,
1:36:03 PM,Tucker 9,700,7,127.4,99,103.8,125,81.8,0,214.3,113,74,5,97.9,93,48,2.5,2386,50.2,
1:36:04 PM,Tucker 9,700,7,127.4,99,103.8,125,81.8,0,213.9,113,72,4,97.7,93,48,2.5,2386,51.2,
1:36:05 PM,Tucker 9,700,7,127.4,99,103.8,125,81.8,0,215.0,113,74,5,98.3,93,48,2.5,2386,52.3,
1:36:06 PM,Tucker 9,700,7,127.4,99,103.8,125,81.8,0,215.8,113,72,4,98.1,93,48,2.5,2386,50.3,
1:36:07 PM,Tucker 9,700,8,127.4,99,103.8,125,81.8,0,216.5,113,72,4,98.4,93,48,2.5,2386,50.3,
1:36:08 PM,Tucker 9,700,7,127.4,99,103.2,126,81.8,0,216.2,113,68,4,97.6,93,48,2.5,2386,48.1,
1:36:09 PM,Tucker 9,700,7,127.4,99,103.8,126,81.8,0,216.1,113,68,4,97.6,93,48,2.5,2386,48.2,
1:36:10 PM,Tucker 9,700,7,127.4,99,103.8,126,81.8,0,216.7,113,74,5,98.0,93,48,2.5,2386,50.2,
1:36:11 PM,Tucker 9,699,8,127.4,99,103.8,126,81.8,0,215.1,113,68,4,97.9,93,48,2.5,2386,47.1,
1:36:12 PM,Tucker 9,701,8,127.4,99,103.8,126,81.8,0,216.7,113,68,4,98.2,93,48,2.5,2386,49.0,
1:36:13 PM,Tucker 9,700,8,127.4,99,103.8,126,81.8,0,216.3,113,74,4,98.0,93,48,2.5,2386,51.9,
1:36:14 PM,Tucker 9,700,8,127.4,99,104.4,126,81.8,0,216.7,113,66,4,97.4,93,48,2.5,2386,45.9,
1:36:15 PM,Tucker 9,700,8,127.4,99,103.8,126,81.8,0,216.6,113,69,4,97.8,93,48,2.5,2386,49.2,
1:36:16 PM,Tucker 9,699,8,127.4,99,104.4,126,81.2,0,216.9,113,68,4,97.9,93,48,2.5,2387,49.5,
1:36:17 PM,Tucker 9,700,8,127.4,99,103.8,126,81.8,0,216.0,113,68,4,98.4,93,48,2.5,2387,50.0,
1:36:18 PM,Tucker 9,700,8,127.4,99,103.8,126,81.8,0,215.0,113,68,4,97.8,93,48,2.5,2387,49.2,
1:36:19 PM,Tucker 9,700,8,127.4,99,104.4,126,81.8,0,212.2,113,68,4,97.5,93,48,2.5,2387,47.8,
1:36:20 PM,Tucker 9,700,8,127.4,99,104.4,126,81.8,0,213.3,113,68,4,97.5,93,48,2.5,2387,49.0,
1:36:21 PM,Tucker 9,701,7,127.4,99,103.8,126,81.8,0,214.8,113,68,4,98.4,93,48,2.5,2387,49.1,
1:36:22 PM,Tucker 9,700,7,127.4,99,103.8,126,81.2,0,217.1,113,68,4,97.9,93,48,2.5,2387,49.4,
1:36:23 PM,Tucker 9,700,7,127.4,99,103.8,126,81.2,0,214.8,113,68,4,98.2,93,48,2.5,2387,48.9,
1:36:24 PM,Tucker 9,700,7,127.4,99,104.4,126,81.2,0,215.3,113,68,4,97.4,93,48,2.5,2387,46.9,
1:36:25 PM,Tucker 9,700,7,127.4,99,104.4,126,81.2,0,216.0,113,68,4,97.4,93,48,2.5,2387,49.0,
1:36:26 PM,Tucker 9,700,7,127.4,99,104.4,126,81.2,0,216.3,113,74,4,98.0,93,48,2.5,2387,53.1,
1:36:27 PM,Tucker 9,701,7,127.4,99,104.4,126,81.2,0,214.1,113,70,4,98.3,93,48,2.5,2387,52.5,
1:36:29 PM,Tucker 9,699,7,127.4,99,103.8,126,81.2,0,215.8,113,68,4,97.9,93,48,2.5,2387,46.2,
1:36:30 PM,Tucker 9,700,7,127.4,99,103.8,126,81.2,0,216.4,113,69,4,97.7,93,48,2.5,2387,50.0,
1:36:31 PM,Tucker 9,701,7,127.4,99,103.8,127,81.2,0,216.2,113,75,5,97.1,93,48,2.5,2387,52.6,
1:36:32 PM,Tucker 9,700,8,127.4,99,103.8,127,81.2,0,216.6,113,72,4,97.7,93,48,2.5,2387,53.5,
